index,brand,part_number,duration_type,duration,lift,lsa,description
73,Melling,MEL-24209,adv,282/304,0.445/0.453,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 282/304, Lift .445/.453, Ford, Small Block, Marine, Each"
74,Melling,MEL-24301,adv,288/288,0.512/0.512,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 288/288, Lift .512/.512, Ford, Small Block, Each"
75,Howards Cams,HRS-222123-08,adv,291/299,0.683/0.672,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 291/299, Lift .683/.672, Ford, 351W, Each"
76,COMP Cams,CCA-35-414-3,adv,270/270,0.500/0.500,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 270/270, Lift .500/.500, Ford, 5.0L HO, 351W, Each"
77,Summit Racing,SUM-8908,unspecified,242/256,0.587/0.587,110.5,"Pro SBF Best Hydraulic Roller Cam 8, 242/256 Duration, 110.5 LSA + 3.5 Adv. .587/.587 lift 1.6 ratio, .625/.625 lift 1.7 ratio, 3,600-7,100 basic rpm"
78,Summit Racing,SUM-8909,unspecified,248/258,0.587/0.587,109.5,"Pro SBF Best Hydraulic Roller Cam 9, 248/258 Duration, 109.5 LSA + 3.5 Adv. .587/.587 lift 1.6 ratio, .625/.625 lift 1.7 ratio, 3,800-7,300 basic rpm"
79,COMP Cams,CCA-31-414-3,adv,270/270,0.500/0.500,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 270/270, Lift .500/.500, Ford, Small Block, Each"
80,Melling,MEL-24212,adv,297/297,,,"Camshaft, M-Select Class 2, Hydraulic Flat Tappet, 297/297 Advertised Duration, 0.458 in./0.457 in. Lift, Ford, Lincoln, Mercury, Each"
81,COMP Cams,CCA-35-328-8,adv,276/282,0.544/0.544,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 276/282, Lift .544/.544, Ford, 5.0L HO, Each"
82,COMP Cams,CCA-35-226-3,adv,280/280,0.512/0.512,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 280/280, Lift .512/.512, Ford, 5.0L HO, 5.8L, Each"
83,COMP Cams,CCA-31-670-4,adv,266/273,0.480/0.475,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 266/273, Lift .480/.475, Ford, Small Block, Each"
84,COMP Cams,CCA-35-427-8,adv,294/300,0.576/0.600,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 294/300, Lift .576/.600, Ford, 351W, Each"
85,COMP Cams,CCA-31-671-4,adv,262/269,0.495/0.495,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 262/269, Lift .495/.495, Ford, Small Block, Each"
86,Howards Cams,HRS-220255-10,adv,284/288,0.544/0.565,,"Camshaft, Retrofit, Hydraulic Roller Tappet, Advertised Duration 284/288, Lift .544/.565, Ford, 351W, Each"
87,Melling,MEL-SYB-25,adv,293/265,4.7/5.0,,"Camshaft, Stock Replacement, Hydraulic Flat Tappet Style, 293/265 Advertised Duration, 0.368 in./0.380 in. Lift, Ford, Mercury, 4.7L, 5.0L, Each"
